nohup: ignoring input
{'没关系': 0, '毕业院校': 1, '主角': 2, '占地面积': 3, '成立日期': 4, '主题曲': 5, '歌手': 6, '创始人': 7, '简称': 8, '母亲': 9, '人口数量': 10, '嘉宾': 11, '代言人': 12, '校长': 13, '官方语言': 14, '邮政编码': 15, '父亲': 16, '所属专辑': 17, '主持人': 18, '祖籍': 19, '面积': 20, '票房': 21, '国籍': 22, '作者': 23, '首都': 24, '所在城市': 25, '作曲': 26, '导演': 27, '饰演': 28, '注册资本': 29, '朝代': 30, '专业代码': 31, '海拔': 32, '制片人': 33, '气候': 34, '编剧': 35, '修业年限': 36, '作词': 37, '董事长': 38, '妻子': 39, '丈夫': 40, '获奖': 41, '主演': 42, '号': 43, '总部地点': 44, '改编自': 45, '上映时间': 46, '出品公司': 47, '配音': 48}
Some weights of the model checkpoint at ./model_hub/chinese-bert-wwm-ext/ were not used when initializing BertModel: ['cls.predictions.transform.dense.weight', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
/root/miniconda3/lib/python3.8/site-packages/transformers/optimization.py:391: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
【train】1/5 381/66465 loss:1.4655543565750122
【train】1/5 382/66465 loss:1.537692904472351
【train】1/5 383/66465 loss:1.9265965223312378
【train】1/5 384/66465 loss:1.4489587545394897
【train】1/5 385/66465 loss:1.775567650794983
【train】1/5 386/66465 loss:1.8610824346542358
【train】1/5 387/66465 loss:1.6175880432128906
【train】1/5 388/66465 loss:1.9300187826156616
【train】1/5 389/66465 loss:1.4577765464782715
【train】1/5 390/66465 loss:1.4815078973770142
【train】1/5 391/66465 loss:1.5005007982254028
【train】1/5 392/66465 loss:1.8250232934951782
【train】1/5 393/66465 loss:1.502954125404358
【train】1/5 394/66465 loss:1.8946417570114136
【train】1/5 395/66465 loss:1.6182966232299805
【train】1/5 396/66465 loss:1.7501102685928345
【train】1/5 397/66465 loss:1.5731350183486938
【train】1/5 398/66465 loss:1.6530351638793945
【train】1/5 399/66465 loss:1.5502084493637085
【train】1/5 400/66465 loss:1.7122501134872437
【train】1/5 401/66465 loss:1.552153468132019
【train】1/5 402/66465 loss:1.8825640678405762
【train】1/5 403/66465 loss:2.0809402465820312
【train】1/5 404/66465 loss:1.5015627145767212
【train】1/5 405/66465 loss:1.9053622484207153
【train】1/5 406/66465 loss:1.5685399770736694
【train】1/5 407/66465 loss:1.9359074831008911
【train】1/5 408/66465 loss:1.5209689140319824
【train】1/5 409/66465 loss:1.1931917667388916
【train】1/5 410/66465 loss:1.6902092695236206
【train】1/5 411/66465 loss:1.1460295915603638
【train】1/5 412/66465 loss:1.1894797086715698
【train】1/5 413/66465 loss:1.7157440185546875
【train】1/5 414/66465 loss:1.5970016717910767
【train】1/5 415/66465 loss:1.3644071817398071
【train】1/5 416/66465 loss:1.5247653722763062
【train】1/5 417/66465 loss:1.412267804145813
【train】1/5 418/66465 loss:1.4177206754684448
【train】1/5 419/66465 loss:1.5838254690170288
【train】1/5 420/66465 loss:1.3441680669784546
【train】1/5 421/66465 loss:1.4430195093154907
【train】1/5 422/66465 loss:1.359354019165039
【train】1/5 423/66465 loss:1.4890155792236328
【train】1/5 424/66465 loss:1.3137372732162476
【train】1/5 425/66465 loss:1.644995093345642
【train】1/5 426/66465 loss:1.1481813192367554
【train】1/5 427/66465 loss:1.2702373266220093
【train】1/5 428/66465 loss:1.4019118547439575
【train】1/5 429/66465 loss:1.0063592195510864
【train】1/5 430/66465 loss:1.3293839693069458
【train】1/5 431/66465 loss:1.4092721939086914
【train】1/5 432/66465 loss:1.7881441116333008
【train】1/5 433/66465 loss:1.0769063234329224
【train】1/5 434/66465 loss:1.2097673416137695
【train】1/5 435/66465 loss:1.416440486907959
【train】1/5 436/66465 loss:1.4295209646224976
【train】1/5 437/66465 loss:1.6121019124984741
【train】1/5 438/66465 loss:1.0754212141036987
【train】1/5 439/66465 loss:1.4713964462280273
【train】1/5 440/66465 loss:1.5586081743240356
【train】1/5 441/66465 loss:1.005376935005188
【train】1/5 442/66465 loss:1.2792218923568726
【train】1/5 443/66465 loss:0.9451186656951904
【train】1/5 444/66465 loss:1.540324091911316
【train】1/5 445/66465 loss:1.1263586282730103
【train】1/5 446/66465 loss:0.7993243336677551
【train】1/5 447/66465 loss:1.3092982769012451
