nohup: ignoring input
{'性能故障': 0, '部件故障': 1, '检测工具': 2, '组成': 3, '没关系': 4}
Some weights of the model checkpoint at ./model_hub/chinese-bert-wwm-ext/ were not used when initializing BertModel: ['cls.predictions.transform.dense.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
/root/miniconda3/lib/python3.8/site-packages/transformers/optimization.py:391: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
【train】1/5 327/3340 loss:0.7163087725639343
【train】1/5 328/3340 loss:0.5159228444099426
【train】1/5 329/3340 loss:0.8534370064735413
【train】1/5 330/3340 loss:0.7690654397010803
【train】1/5 331/3340 loss:0.7024258971214294
【train】1/5 332/3340 loss:0.6037330627441406
【train】1/5 333/3340 loss:0.7883619070053101
【train】1/5 334/3340 loss:0.9803239703178406
【train】1/5 335/3340 loss:1.0892624855041504
【train】1/5 336/3340 loss:1.305976390838623
【train】1/5 337/3340 loss:0.634894609451294
【train】1/5 338/3340 loss:0.6177896857261658
【train】1/5 339/3340 loss:0.8046666979789734
【train】1/5 340/3340 loss:0.5223827362060547
【train】1/5 341/3340 loss:1.111822485923767
【train】1/5 342/3340 loss:1.005600094795227
【train】1/5 343/3340 loss:1.0624158382415771
【train】1/5 344/3340 loss:0.6483869552612305
【train】1/5 345/3340 loss:0.7043746113777161
【train】1/5 346/3340 loss:0.6830330491065979
【train】1/5 347/3340 loss:0.4518764615058899
【train】1/5 348/3340 loss:0.7389590740203857
【train】1/5 349/3340 loss:0.9302242398262024
【train】1/5 350/3340 loss:1.1567237377166748
【train】1/5 351/3340 loss:1.0414034128189087
【train】1/5 352/3340 loss:0.8331963419914246
【train】1/5 353/3340 loss:0.9895675778388977
【train】1/5 354/3340 loss:0.9554364681243896
【train】1/5 355/3340 loss:0.6452857851982117
【train】1/5 356/3340 loss:0.6666750311851501
【train】1/5 357/3340 loss:0.9327817559242249
【train】1/5 358/3340 loss:0.6361801028251648
【train】1/5 359/3340 loss:0.8838951587677002
【train】1/5 360/3340 loss:0.7318803668022156
【train】1/5 361/3340 loss:0.8133261799812317
【train】1/5 362/3340 loss:0.9898012280464172
【train】1/5 363/3340 loss:0.9587295055389404
【train】1/5 364/3340 loss:0.8033786416053772
【train】1/5 365/3340 loss:1.310953974723816
【train】1/5 366/3340 loss:0.9839048385620117
【train】1/5 367/3340 loss:1.1842126846313477
【train】1/5 368/3340 loss:0.9421535134315491
【train】1/5 369/3340 loss:0.8581129908561707
【train】1/5 370/3340 loss:0.5956523418426514
【train】1/5 371/3340 loss:0.7100308537483215
【train】1/5 372/3340 loss:1.036207914352417
【train】1/5 373/3340 loss:0.6398582458496094
【train】1/5 374/3340 loss:0.5293397307395935
【train】1/5 375/3340 loss:0.6684206128120422
【train】1/5 376/3340 loss:0.7069504857063293
【train】1/5 377/3340 loss:0.7232509255409241
【train】1/5 378/3340 loss:1.136357307434082
【train】1/5 379/3340 loss:0.43114539980888367
【train】1/5 380/3340 loss:1.002557396888733
【train】1/5 381/3340 loss:1.4430880546569824
【train】1/5 382/3340 loss:1.3193087577819824
【train】1/5 383/3340 loss:0.46004974842071533
【train】1/5 384/3340 loss:0.9161837100982666
【train】1/5 385/3340 loss:0.7594628930091858
【train】1/5 386/3340 loss:1.0740936994552612
【train】1/5 387/3340 loss:0.9485988616943359
【train】1/5 388/3340 loss:0.6626656651496887
【train】1/5 389/3340 loss:1.0308514833450317
【train】1/5 390/3340 loss:0.813242495059967
【train】1/5 391/3340 loss:0.9271187782287598
【train】1/5 392/3340 loss:0.6763465404510498
【train】1/5 393/3340 loss:0.9078739285469055
【train】1/5 394/3340 loss:0.8158641457557678
【train】1/5 395/3340 loss:0.5928716659545898
【train】1/5 396/3340 loss:0.6483029723167419
【train】1/5 397/3340 loss:1.088772177696228
【train】1/5 398/3340 loss:0.5462079644203186
【train】1/5 399/3340 loss:1.1097272634506226
【train】1/5 400/3340 loss:1.0922868251800537
【train】1/5 401/3340 loss:0.7486318945884705
【train】1/5 402/3340 loss:0.5646519660949707
【train】1/5 403/3340 loss:0.6497220396995544
【train】1/5 404/3340 loss:0.7787924408912659
【train】1/5 405/3340 loss:0.637663722038269
【train】1/5 406/3340 loss:1.2815710306167603
【train】1/5 407/3340 loss:1.3152936697006226
【train】1/5 408/3340 loss:0.4692922532558441
【train】1/5 409/3340 loss:1.5702415704727173
【train】1/5 410/3340 loss:0.5116212368011475
【train】1/5 411/3340 loss:1.0961532592773438
【train】1/5 412/3340 loss:0.9165003895759583
【train】1/5 413/3340 loss:0.5933659076690674
【train】1/5 414/3340 loss:0.5702917575836182
【train】1/5 415/3340 loss:1.1790088415145874
【train】1/5 416/3340 loss:0.8942139148712158
【train】1/5 417/3340 loss:1.0708829164505005
【train】1/5 418/3340 loss:0.6849066615104675
【train】1/5 419/3340 loss:1.0715184211730957
【train】1/5 420/3340 loss:0.7830333709716797
【train】1/5 421/3340 loss:0.7187438011169434
【train】1/5 422/3340 loss:0.5611448884010315
【train】1/5 423/3340 loss:1.1306354999542236
【train】1/5 424/3340 loss:0.4401600658893585
【train】1/5 425/3340 loss:0.7516050934791565
【train】1/5 426/3340 loss:0.8411208987236023
【train】1/5 427/3340 loss:0.4956209659576416
【train】1/5 428/3340 loss:0.6226181387901306
【train】1/5 429/3340 loss:0.6983866691589355
【train】1/5 430/3340 loss:0.7021534442901611
【train】1/5 431/3340 loss:0.7262385487556458
【train】1/5 432/3340 loss:0.3487838804721832
【train】1/5 433/3340 loss:0.9499322772026062
【train】1/5 434/3340 loss:0.724464476108551
【train】1/5 435/3340 loss:0.7000519633293152
【train】1/5 436/3340 loss:0.6518521308898926
【train】1/5 437/3340 loss:0.618419885635376
【train】1/5 438/3340 loss:0.730140209197998
【train】1/5 439/3340 loss:0.36036548018455505
【train】1/5 440/3340 loss:0.803185224533081
【train】1/5 441/3340 loss:0.969997763633728
【train】1/5 442/3340 loss:0.5360011458396912
【train】1/5 443/3340 loss:1.1200289726257324
【train】1/5 444/3340 loss:0.7937805652618408
【train】1/5 445/3340 loss:1.0661059617996216
【train】1/5 446/3340 loss:0.9605154991149902
【train】1/5 447/3340 loss:0.3839317262172699
【train】1/5 448/3340 loss:0.62340247631073
【train】1/5 449/3340 loss:0.7672072052955627
【train】1/5 450/3340 loss:1.553571343421936
【train】1/5 451/3340 loss:0.5465409755706787
【train】1/5 452/3340 loss:0.7670436501502991
【train】1/5 453/3340 loss:0.4406045079231262
【train】1/5 454/3340 loss:0.7326140403747559
【train】1/5 455/3340 loss:1.001719355583191
【train】1/5 456/3340 loss:0.8787505626678467
【train】1/5 457/3340 loss:0.6602069139480591
【train】1/5 458/3340 loss:0.7924203276634216
【train】1/5 459/3340 loss:1.0077381134033203
【train】1/5 460/3340 loss:0.6793462634086609
【train】1/5 461/3340 loss:0.7201955914497375
【train】1/5 462/3340 loss:0.5828095078468323
【train】1/5 463/3340 loss:1.3649499416351318
【train】1/5 464/3340 loss:1.0674245357513428
【train】1/5 465/3340 loss:0.8897435665130615
【train】1/5 466/3340 loss:0.7932981848716736
【train】1/5 467/3340 loss:0.7168264985084534
【train】1/5 468/3340 loss:0.8614451289176941
【train】1/5 469/3340 loss:0.9649186730384827
【train】1/5 470/3340 loss:0.8336544632911682
【train】1/5 471/3340 loss:0.8746316432952881
【train】1/5 472/3340 loss:0.7542238235473633
【train】1/5 473/3340 loss:0.6886914968490601
【train】1/5 474/3340 loss:0.8334782123565674
【train】1/5 475/3340 loss:0.6676204204559326
【train】1/5 476/3340 loss:0.8438391089439392
【train】1/5 477/3340 loss:1.0206502676010132
【train】1/5 478/3340 loss:0.8466697335243225
【train】1/5 479/3340 loss:0.7549135684967041
【train】1/5 480/3340 loss:1.1324315071105957
【train】1/5 481/3340 loss:0.8964073061943054
【train】1/5 482/3340 loss:0.8483481407165527
【train】1/5 483/3340 loss:0.8919134140014648
【train】1/5 484/3340 loss:0.973024845123291
【train】1/5 485/3340 loss:0.7325977683067322
【train】1/5 486/3340 loss:0.7168019413948059
【train】1/5 487/3340 loss:1.4476823806762695
【train】1/5 488/3340 loss:0.7622804641723633
【train】1/5 489/3340 loss:0.7318081855773926
【train】1/5 490/3340 loss:0.8771700263023376
【train】1/5 491/3340 loss:1.393211007118225
【train】1/5 492/3340 loss:0.6601542234420776
【train】1/5 493/3340 loss:0.6781321167945862
【train】1/5 494/3340 loss:0.788629949092865
【train】1/5 495/3340 loss:0.703681468963623
【train】1/5 496/3340 loss:0.37395527958869934
【train】1/5 497/3340 loss:0.8486310839653015
【train】1/5 498/3340 loss:0.6254358291625977
【train】1/5 499/3340 loss:1.013051152229309
【train】1/5 500/3340 loss:1.246013879776001
【train】1/5 501/3340 loss:0.6728191375732422
【train】1/5 502/3340 loss:0.6924616694450378
